x,y,token
-21.074389,4.5674467,уходить
-52.194756,-5.1100335,скала
-44.889442,-29.16071,воздух
-3.0831516,36.094456,кроме
16.503147,1.1185244,никакой
-10.941574,-11.146063,затем
30.59651,26.860796,помочь
-6.4944196,-29.528236,показаться
-30.7396,48.42511,владыка
-57.05799,-0.04985118,тропа
-16.711246,39.534916,многие
13.209423,-23.80775,он
-32.91973,21.47585,воин
10.087162,39.167076,помощь
21.393333,-9.489943,откуда
-26.098642,40.127926,пещера
-7.126821,10.951619,утро
39.136803,-23.494835,сударь
-9.805326,12.883644,сарумать
-1.7092116,33.41552,иной
61.83562,22.56234,вопрос
-48.238964,-26.982626,сквозь
17.266342,4.2929335,искать
25.311848,-14.039281,держать
-30.2945,34.97176,могучий
16.680252,-17.9076,ответ
25.698744,-7.5880656,наверно
22.122974,55.047626,убить
-13.270648,-0.834231,близкий
-19.799757,-18.4912,вокруг
-17.829685,-30.00404,лестница
-3.1369388,-9.183844,машина
-15.817084,-23.53142,остановиться
-38.351585,-1.0658474,дальний
40.322163,-38.891415,успеть
5.643984,19.906385,отправиться
50.42361,-11.164611,торбинс
24.270237,-6.8755546,равно
12.343636,-10.9101515,стоить
71.88716,-7.360661,аpтуp
-38.561478,21.973186,войско
39.978687,-29.225985,смеагорло
-5.3756685,13.170252,глава
-19.174208,-3.9171271,след
26.455433,0.44886687,ранний
43.935776,23.176857,иметь
21.30547,-53.784054,комната
5.216746,44.069126,судьба
10.245415,-18.801058,прямо
-31.662642,-25.041555,золотой
16.915535,-28.314419,ухо
-16.068531,4.8325973,впереди
-51.044617,1.6097502,спуститься
1.1918801,28.49663,оставаться
-6.9443827,7.793955,ехать
10.750598,40.8817,принять
-0.6290253,-44.557434,спина
-20.467081,0.8282309,лёгкий
-4.1415997,2.4641933,часть
-30.734163,26.855446,погибнуть
-45.993076,17.347301,равнина
13.879305,24.996052,гость
22.71468,-6.3809323,вовсе
32.05703,10.326786,слушать
7.3792887,-19.324982,поглядеть
8.541428,29.419386,денэтор
-44.591206,29.05903,крепость
24.649494,21.722445,нужно
-52.828823,-6.579095,глубокий
23.557909,24.729969,нужный
-54.31439,-30.438553,туман
22.203035,-12.010855,проговорить
58.229366,13.611124,бювуар
-55.02066,-34.232998,туча
23.759747,-32.999928,пони
-27.397276,40.473965,торина
16.458807,-10.609929,хотеться
-7.8525596,-2.359243,полный
40.996807,30.47316,считать
-23.67647,-16.945478,тело
-7.2739973,-31.983912,появиться
